date,category,search_group,search_term,query_variant,page,title,url,currency,price,old_price,rating,reviews,stock_status,stock_text
2025-12-27,Home_Appliances,Home_Appliances,vacuum cleaner,vacuum cleaner,1,Prifix Tank Vacuum Cleaner,https://www.noon.com/egypt-en/prifix-tank-vacuum-cleaner/Z4A58EDF0AF02F6344D68Z/p/?o=z4a58edf0af02f6344d68z-1,EGP,"3,299",,4.8,6,unknown,
2025-12-27,Home_Appliances,Home_Appliances,vacuum cleaner,vacuum cleaner,1,"HOOVER Power 6 Advanced Vacuum Cleaner, One Touch Easy Empty Bin, Single Cyclonic Technology, HEPA Filter, Ideal For Allergy Sufferers, Pet Owners, Efficient Home Cleaning 3 L 2200 W CDCY-P6ME Grey/Red",https://www.noon.com/egypt-en/power-6-advanced-vacuum-cleaner-one-touch-easy-empty-bin-single-cyclonic-technology-hepa-filter-ideal-for-allergy-sufferers-pet-owners-efficient-home-cleaning-3-l-2200-w-cdcy-p6me-grey-red/N41423038A/p/?o=de2c99e8627dfa1a,EGP,"6,098","6,499",4.2,452,unknown,
2025-12-27,Home_Appliances,Home_Appliances,vacuum cleaner,vacuum cleaner,1,"Sokany 2-in-1 Vacuum Cleaner - 2000W for thorough cleaning, upright and handheld design, HEPA filter for air purification, sterilizes all areas, 5m cord for easy movement and cleaning the smallest corners, modern design from Sokany 13043-SK",https://www.noon.com/egypt-en/sokany-2-in-1-vacuum-cleaner-2000w-for-thorough-cleaning-upright-and-handheld-design-hepa-filter-for-air-purification-sterilizes-all-areas-5m-cord-for-easy-movement-and-cleaning-the-smallest-corners-modern-design-from-sokany-13043-sk/Z1A2CE5F1208C4FEC68A0Z/p/?o=z1a2ce5f1208c4fec68a0z-1,EGP,"3,500",,4.3,6,unknown,
2025-12-27,Home_Appliances,Home_Appliances,vacuum cleaner,vacuum cleaner,1,Panasonic Vacuum Cleaner 6 L 1900 W MC-CG711 Red/Black/Silver,https://www.noon.com/egypt-en/vacuum-cleaner-6-l-1900-w-mc-cg711-red-black-silver/N18195892A/p/?o=f4a8a01f5d1eb75a,EGP,"5,937",,4.7,20,unknown,
2025-12-27,Home_Appliances,Home_Appliances,vacuum cleaner,vacuum cleaner,1,Philips PowerPro Bagless Vacuum Cleaner 1800 W FC9350/62/61 Deep Black,https://www.noon.com/egypt-en/powerpro-bagless-vacuum-cleaner-1800-w-fc9350-62-61-deep-black/N13815482A/p/?o=e6e22d37a06c6efa,EGP,"7,150","7,249",4.7,3.7K,unknown,
2025-12-27,Home_Appliances,Home_Appliances,vacuum cleaner,vacuum cleaner,1,"Kenwood Vacuum Cleaner, 2200 Watt, Bagless, 3.5 Liter Tank, Black, Model VBP90.000GB 2200 W VBP90.000GB GREY",https://www.noon.com/egypt-en/kenwood-vacuum-cleaner-2200-watt-bagless-3-5-liter-tank-black-model-vbp90-000gb-2200-w-vbp90-000gb-grey/N70217880V/p/?o=f1583ca5805ef14c,EGP,"5,666",,3.5,5,unknown,
2025-12-27,Home_Appliances,Home_Appliances,vacuum cleaner,vacuum cleaner,1,KENWOOD Vacuum Bagless 3.5 L 2200 W VBP80.000RG / VBP80.000GB Multicolour,https://www.noon.com/egypt-en/vacuum-bagless-3-5-l-2200-w-vbp80-000rg-vbp80-000gb-multicolour/N48424847A/p/?o=dc3a80530465aa3c,EGP,"5,424","6,970",3.5,20,unknown,
2025-12-27,Home_Appliances,Home_Appliances,vacuum cleaner,vacuum cleaner,1,Xiaomi Robot Vacuum S20 | 3200mAh Nominal Battery Capacity | 5000Pa Suction Fan | 400ml Dustbin And 270ml Water Tank | Supports Mi Home/Alexa/Google App | 270 ml 45 W BHR8646GB | BHR8628EU | BHR8648US | D106 Black,https://www.noon.com/egypt-en/robot-vacuum-s20-3200mah-nominal-battery-capacity-5000pa-suction-fan-400ml-dustbin-and-270ml-water-tank-supports-mi-home-alexa-google-app-270-ml-45-w-bhr8646gb-bhr8628eu-bhr8648us-d106-black/N70098158V/p/?o=a805e525bf11711f,EGP,"13,500","15,000",4.9,14,unknown,
2025-12-27,Home_Appliances,Home_Appliances,vacuum cleaner,vacuum cleaner,1,Jac 2400W Silver Vacuum Cleaner jd2400s,https://www.noon.com/egypt-en/jac-2400w-silver-vacuum-cleaner-jd2400s/Z189C1EC624767535AD45Z/p/?o=z189c1ec624767535ad45z-1,EGP,"2,590",,4.0,5,unknown,
2025-12-27,Home_Appliances,Home_Appliances,vacuum cleaner,vacuum cleaner,1,BOSCH Serie 4 Series 4 ProHygienic Bagless Vacuum Cleaner Dark 2000 W BGS21WHYG White,https://www.noon.com/egypt-en/serie-4-series-4-prohygienic-bagless-vacuum-cleaner-dark-2000-w-bgs21whyg-white/N53356592A/p/?o=c33b2df01184074f,EGP,"8,799",,4.3,115,unknown,
2025-12-27,Home_Appliances,Home_Appliances,vacuum cleaner,vacuum cleaner,1,SHARP Pail Can Vacuum Cleaner Cloth Filter 22 L 2400 W EC-CA2422-Z / EC-CA2422-X Gold,https://www.noon.com/egypt-en/pail-can-vacuum-cleaner-cloth-filter-22-l-2400-w-ec-ca2422-z-ec-ca2422-x-gold/N43898059A/p/?o=e78a0c99fd7fe60e,EGP,"6,699",,4.3,25,unknown,
2025-12-27,Home_Appliances,Home_Appliances,vacuum cleaner,vacuum cleaner,1,"Bissell PowerForce Helix Vacuum Cleaner 2111E – Multi-Cyclonic Technology, Powerful Suction, Lightweight Design, Ideal for Dust, Hair & Deep Cleaning | 1 L 1100 W BISM-2111E Blue/Black/Silver",https://www.noon.com/egypt-en/powerforce-helix-vacuum-cleaner-2111e-multi-cyclonic-technology-powerful-suction-lightweight-design-ideal-for-dust-hair-deep-cleaning-1-l-1100-w-bism-2111e-blue-black-silver/N15427427A/p/?o=fbc3fe2ed192d8fb,EGP,"6,908","8,500",4.0,74,unknown,
2025-12-27,Home_Appliances,Home_Appliances,vacuum cleaner,vacuum cleaner,1,"HOOVER Cleanslate Carpet & Upholstery Powerful, Portable, Multi-purpose Spot Cleaner For Car Seats, Sofa, Kitchen, Outdoor & More, Removes Spots Spills & Tough Stains 400 W CDSW-MPME Black/Red",https://www.noon.com/egypt-en/cleanslate-carpet-upholstery-powerful-portable-multi-purpose-spot-cleaner-for-car-seats-sofa-kitchen-outdoor-more-removes-spots-spills-tough-stains-400-w-cdsw-mpme-black-red/N53432440A/p/?o=af5ccc4fcc0793df,EGP,"11,015","11,850",4.1,110,unknown,
2025-12-27,Home_Appliances,Home_Appliances,vacuum cleaner,vacuum cleaner,1,Steam Cleaner Black/Yellow,https://www.noon.com/egypt-en/steam-cleaner-black-yellow/N14084306A/p/?o=c2a43bfcee54dafc,EGP,"1,414",,3.2,24,unknown,
2025-12-27,Home_Appliances,Home_Appliances,vacuum cleaner,vacuum cleaner,1,"Handheld Steam Cleaner – Multi-Purpose High Pressure Steamer with 10-Piece Set, Chemical-Free Deep Cleaning for Carpets, Curtains, Windows, Floors & Car Seats – Yellow/Black/White",https://www.noon.com/egypt-en/handheld-steam-cleaner-multi-purpose-high-pressure-steamer-with-10-piece-set-chemical-free-deep-cleaning-for-carpets-curtains-windows-floors-car-seats-yellow-black-white/Z2B4538BC3137AC8F82A9Z/p/?o=f758de072b742b8c,EGP,"1,299","1,999",3.6,17,unknown,
2025-12-27,Home_Appliances,Home_Appliances,vacuum cleaner,vacuum cleaner,1,Panasonic Vacuum Cleaner 1900 W MC-CG711R149/MC-CG711R349 Red/Black,https://www.noon.com/egypt-en/vacuum-cleaner-1900-w-mc-cg711r149-mc-cg711r349-red-black/N12840009A/p/?o=d5137ceb2db2a92f,EGP,"5,988","8,801",4.5,187,unknown,
2025-12-27,Home_Appliances,Home_Appliances,vacuum cleaner,vacuum cleaner,1,Bissell Handheld Vacuums Cleaner 0.5 L 520 W 2024E/F Black,https://www.noon.com/egypt-en/handheld-vacuums-cleaner-0-5-l-520-w-2024e-f-black/N53379281A/p/?o=de4a3616b511957e,EGP,"3,189","3,399",0.5,3,unknown,
2025-12-27,Home_Appliances,Home_Appliances,vacuum cleaner,vacuum cleaner,1,Panasonic Bagless Vacuum Cleaner 1800 W MC-CL603G149 Earth Green,https://www.noon.com/egypt-en/panasonic-bagless-vacuum-cleaner-1800-w-mc-cl603g149-earth-green/N70030573V/p/?o=b8cd16b2b8242d1e,EGP,"5,400",,4.4,7,unknown,
2025-12-27,Home_Appliances,Home_Appliances,vacuum cleaner,vacuum cleaner,1,"Fresh Faster Fresh Vacuum Cleaner, 1600 Watts - 3.5 Liters - Black Gold",https://www.noon.com/egypt-en/faster-fresh-vacuum-cleaner-1600-watts-3-5-liters-black-gold/Z283C3D4CF7FF9C83624CZ/p/?o=d73fd5af55c9eeec,EGP,"2,590","5,000",3.5,12,unknown,
2025-12-27,Home_Appliances,Home_Appliances,vacuum cleaner,vacuum cleaner,1,Xiaomi Robot Vacuum H40 | 10000Pa powerful suction | LDS Navigation | Smart Mapping | Anti-tangle brush | Auto Dust Emptying |180min Runtime | Works with Xiaomi Home App | Voice Control 70 W OV51 White,https://www.noon.com/egypt-en/xiaomi-robot-vacuum-h40-10000pa-powerful-suction-lds-navigation-smart-mapping-anti-tangle-brush-auto-dust-emptying-180min-runtime-works-with-xiaomi-home-app-voice-control-70-w-ov51-white/N70205530V/p/?o=f68782c8df268a5f,EGP,"17,530","19,736",2.9,4,unknown,
2025-12-27,Home_Appliances,Home_Appliances,vacuum cleaner,vacuum cleaner,1,"Mienta Vacuum Cleaner, 2000 Watt, 2.5 Liter, VC19604B - Black Red",https://www.noon.com/egypt-en/mienta-vacuum-cleaner-2000-watt-2-5-liter-vc19604b-black-red/Z2EFF338D82CEFB45B90EZ/p/?o=z2eff338d82cefb45b90ez-1,EGP,"5,150","9,000",2.5,11,unknown,
